ID,ISDELETED,NAME,CURRENCYISOCODE,ZQU__PRODUCTRATEPLANCHARGE__C,ZQU__CURRENCY__C,ZQU__DELETED__C,ZQU__ENDINGUNIT__C,ZQU__ISOVERAGEPRICE__C,ZQU__PRICEFORMAT__C,ZQU__PRICE__C,ZQU__PRODUCTRATEPLANCHARGEID__C,ZQU__STARTINGUNIT__C,ZQU__TIER__C,ZQU__ZUORAID__C,ZQU__ACTIVE__C,ZQU__CATALOG_SYNC_HISTORY__C,ZQU__CURRENCY2__C,ZQU__DISCOUNTAMOUNT__C,ZQU__DISCOUNTPERCENTAGE__C,ZQU__PRICEFORMAT2__C,ZQU__SYNCMESSAGE__C,ZQU__SYNCSTATUS__C
a0z1r00000IqkuAAAR,FALSE,1,USD,a101r00000Atv81AAB,USD,FALSE,2000,FALSE,Flat Fee,0,,0,1,2c92a0ff6435125c01643ca979d73f08,FALSE,,USD,,,Flat Fee,,Updated
a0z1r00000IqkuBAAR,FALSE,1,USD,a101r00000Atv81AAB,EUR,FALSE,2000,FALSE,Flat Fee,0,,0,1,2c92a0ff6435125c01643ca979d73f09,FALSE,,EUR,,,Flat Fee,,Updated
a0z1r00000IqkuCAAR,FALSE,2,USD,a101r00000Atv81AAB,USD,FALSE,,FALSE,Per Unit,0.005,,2000.001,2,2c92a0ff6435125c01643ca979d83f0a,FALSE,,USD,,,Per Unit,,Updated
a0z1r00000IqkuDAAR,FALSE,2,USD,a101r00000Atv81AAB,EUR,FALSE,,FALSE,Per Unit,0.0045,,2000.001,2,2c92a0ff6435125c01643ca979d83f0b,FALSE,,EUR,,,Per Unit,,Updated
a0z1r00000IqkuEAAR,FALSE,1,USD,a101r00000Atv82AAB,USD,FALSE,10,FALSE,Flat Fee,0,,0,1,2c92a0ff6435125c01643ca97a203f1b,FALSE,,USD,,,Flat Fee,,Updated
a0z1r00000IqkuFAAR,FALSE,1,USD,a101r00000Atv82AAB,EUR,FALSE,10,FALSE,Flat Fee,0,,0,1,2c92a0ff6435125c01643ca97a203f1c,FALSE,,EUR,,,Flat Fee,,Updated
a0z1r00000IqkuGAAR,FALSE,2,USD,a101r00000Atv82AAB,USD,FALSE,,FALSE,Per Unit,15,,11,2,2c92a0ff6435125c01643ca97a203f1d,FALSE,,USD,,,Per Unit,,Updated
a0z1r00000IqkuHAAR,FALSE,2,USD,a101r00000Atv82AAB,EUR,FALSE,,FALSE,Per Unit,13.5,,11,2,2c92a0ff6435125c01643ca97a203f1e,FALSE,,EUR,,,Per Unit,,Updated
a0z1r00000IqkuIAAR,FALSE,1,USD,a101r00000Atv83AAB,USD,FALSE,750,FALSE,Flat Fee,0,,0,1,2c92a0ff6435125c01643ca97a693f33,FALSE,,USD,,,Flat Fee,,Updated
a0z1r00000IqkuJAAR,FALSE,1,USD,a101r00000Atv83AAB,EUR,FALSE,750,FALSE,Flat Fee,0,,0,1,2c92a0ff6435125c01643ca97a693f34,FALSE,,EUR,,,Flat Fee,,Updated
a0z1r00000IqkuKAAR,FALSE,2,USD,a101r00000Atv83AAB,USD,FALSE,,FALSE,Per Unit,0.065,,751,2,2c92a0ff6435125c01643ca97a693f35,FALSE,,USD,,,Per Unit,,Updated
a0z1r00000IqkuLAAR,FALSE,2,USD,a101r00000Atv83AAB,EUR,FALSE,,FALSE,Per Unit,0.059,,751,2,2c92a0ff6435125c01643ca97a693f36,FALSE,,EUR,,,Per Unit,,Updated
a0z1r00000IqkuhAAB,FALSE,1,USD,a101r00000Atv9JAAR,USD,FALSE,,FALSE,Flat Fee,0,,0,1,2c92a0ff6435125c01643ca97e344055,FALSE,,USD,,,Flat Fee,,Updated
a0z1r00000IqkuiAAB,FALSE,1,USD,a101r00000Atv9JAAR,EUR,FALSE,,FALSE,Flat Fee,0,,0,1,2c92a0ff6435125c01643ca97e344056,FALSE,,EUR,,,Flat Fee,,Updated
a0z1r00000IqkukAAB,FALSE,1,USD,a101r00000Atv9KAAR,USD,FALSE,,FALSE,Per Unit,0,,0,1,2c92a0ff6435125c01643ca97f27406f,FALSE,,USD,,,Per Unit,,Updated
a0z1r00000IqkulAAB,FALSE,1,USD,a101r00000Atv9KAAR,EUR,FALSE,,FALSE,Per Unit,0,,0,1,2c92a0ff6435125c01643ca97f274070,FALSE,,EUR,,,Per Unit,,Updated
a0z1r00000IqkumAAB,FALSE,1,USD,a101r00000Atv9LAAR,USD,FALSE,,FALSE,Per Unit,0,,0,1,2c92a0ff6435125c01643ca97f834074,FALSE,,USD,,,Per Unit,,Updated
a0z1r00000IqkunAAB,FALSE,1,USD,a101r00000Atv9LAAR,EUR,FALSE,,FALSE,Per Unit,0,,0,1,2c92a0ff6435125c01643ca97f834075,FALSE,,EUR,,,Per Unit,,Updated
a0z1r00000IqkuoAAB,FALSE,1,USD,a101r00000Atv9MAAR,USD,FALSE,,FALSE,Per Unit,0,,0,1,2c92a0ff6435125c01643ca97fdd407a,FALSE,,USD,,,Per Unit,,Updated
a0z1r00000IqkupAAB,FALSE,1,USD,a101r00000Atv9MAAR,EUR,FALSE,,FALSE,Per Unit,0,,0,1,2c92a0ff6435125c01643ca97fdd407b,FALSE,,EUR,,,Per Unit,,Updated
a0z1r00000IqkuqAAB,FALSE,1,USD,a101r00000Atv9NAAR,USD,FALSE,,FALSE,Per Unit,0,,0,1,2c92a0ff6435125c01643ca980384082,FALSE,,USD,,,Per Unit,,Updated
a0z1r00000IqkurAAB,FALSE,1,USD,a101r00000Atv9NAAR,EUR,FALSE,,FALSE,Per Unit,0,,0,1,2c92a0ff6435125c01643ca980384083,FALSE,,EUR,,,Per Unit,,Updated
a0z1r00000IqkusAAB,FALSE,1,USD,a101r00000Atv9OAAR,USD,FALSE,,FALSE,Per Unit,0,,0,1,2c92a0ff6435125c01643ca980904086,FALSE,,USD,,,Per Unit,,Updated
a0z1r00000IqkutAAB,FALSE,1,USD,a101r00000Atv9OAAR,EUR,FALSE,,FALSE,Per Unit,0,,0,1,2c92a0ff6435125c01643ca980904087,FALSE,,EUR,,,Per Unit,,Updated
a0z1r00000IqkuuAAB,FALSE,1,USD,a101r00000Atv9PAAR,USD,FALSE,,FALSE,Flat Fee,0,,0,1,2c92a0ff6435125c01643ca98118408a,FALSE,,USD,,,Flat Fee,,Updated
a0z1r00000IqkuvAAB,FALSE,1,USD,a101r00000Atv9PAAR,EUR,FALSE,,FALSE,Flat Fee,0,,0,1,2c92a0ff6435125c01643ca98118408b,FALSE,,EUR,,,Flat Fee,,Updated
a0z1r00000IqkudAAB,FALSE,1,USD,a101r00000Atv9QAAR,USD,FALSE,,FALSE,Flat Fee,0,,0,1,2c92a0ff6435125c01643ca97d754045,FALSE,,USD,,,Flat Fee,,Updated
a0z1r00000IqkueAAB,FALSE,1,USD,a101r00000Atv9QAAR,EUR,FALSE,,FALSE,Flat Fee,0,,0,1,2c92a0ff6435125c01643ca97d754046,FALSE,,EUR,,,Flat Fee,,Updated
a0z1r00000IqkufAAB,FALSE,1,USD,a101r00000Atv9RAAR,USD,FALSE,,FALSE,Per Unit,0.06,,0,1,2c92a0ff6435125c01643ca97dc0404d,FALSE,,USD,,,Per Unit,,Updated
a0z1r00000IqkugAAB,FALSE,1,USD,a101r00000Atv9RAAR,EUR,FALSE,,FALSE,Per Unit,0.054,,0,1,2c92a0ff6435125c01643ca97dc0404e,FALSE,,EUR,,,Per Unit,,Updated
a0z1r00000IqkuMAAR,FALSE,1,USD,a101r00000Atv9SAAR,USD,FALSE,,FALSE,Flat Fee,0,,0,1,2c92a0ff6435125c01643ca97aa23f6e,FALSE,,USD,,0,Flat Fee,,Updated
a0z1r00000IqkuNAAR,FALSE,1,USD,a101r00000Atv9SAAR,EUR,FALSE,,FALSE,Flat Fee,0,,0,1,2c92a0ff6435125c01643ca97aa23f6f,FALSE,,EUR,,0,Flat Fee,,Updated
a0z1r00000IqkuOAAR,FALSE,1,USD,a101r00000Atv9TAAR,USD,FALSE,,FALSE,Per Unit,0,,0,1,2c92a0ff6435125c01643ca97acd3fc9,FALSE,,USD,,,Per Unit,,Updated
a0z1r00000IqkuPAAR,FALSE,1,USD,a101r00000Atv9TAAR,EUR,FALSE,,FALSE,Per Unit,0,,0,1,2c92a0ff6435125c01643ca97acd3fca,FALSE,,EUR,,,Per Unit,,Updated
a0z1r00000IqkuQAAR,FALSE,1,USD,a101r00000Atv9UAAR,USD,FALSE,,FALSE,Per Unit,180,,0,1,2c92a0ff6435125c01643ca97b80400c,FALSE,,USD,,,Per Unit,,Updated
a0z1r00000IqkuRAAR,FALSE,1,USD,a101r00000Atv9UAAR,EUR,FALSE,,FALSE,Per Unit,162,,0,1,2c92a0ff6435125c01643ca97b80400d,FALSE,,EUR,,,Per Unit,,Updated
a0z1r00000IqkuSAAR,FALSE,1,USD,a101r00000Atv9VAAR,USD,FALSE,,FALSE,Per Unit,0.78,,0,1,2c92a0ff6435125c01643ca97bc24010,FALSE,,USD,,,Per Unit,,Updated
a0z1r00000IqkuTAAR,FALSE,1,USD,a101r00000Atv9VAAR,EUR,FALSE,,FALSE,Per Unit,0.708,,0,1,2c92a0ff6435125c01643ca97bc24011,FALSE,,EUR,,,Per Unit,,Updated
a0z1r00000IqkuUAAR,FALSE,1,USD,a101r00000Atv9WAAR,USD,FALSE,,FALSE,Flat Fee,0,,0,1,2c92a0ff6435125c01643ca97c0a401e,FALSE,,USD,,,Flat Fee,,Updated
a0z1r00000IqkuVAAR,FALSE,1,USD,a101r00000Atv9WAAR,EUR,FALSE,,FALSE,Flat Fee,0,,0,1,2c92a0ff6435125c01643ca97c0a401f,FALSE,,EUR,,,Flat Fee,,Updated
a0z1r00000IqkuWAAR,FALSE,1,USD,a101r00000Atv9XAAR,USD,FALSE,,FALSE,Flat Fee,0,,0,1,2c92a0ff6435125c01643ca97c51402a,FALSE,,USD,,,Flat Fee,,Updated
a0z1r00000IqkuXAAR,FALSE,1,USD,a101r00000Atv9XAAR,EUR,FALSE,,FALSE,Flat Fee,0,,0,1,2c92a0ff6435125c01643ca97c51402b,FALSE,,EUR,,,Flat Fee,,Updated
a0z1r00000IqkuYAAR,FALSE,1,USD,a101r00000Atv9YAAR,USD,FALSE,,FALSE,Flat Fee,0,,0,1,2c92a0ff6435125c01643ca97c97402f,FALSE,,USD,,,Flat Fee,,Updated
a0z1r00000IqkuZAAR,FALSE,1,USD,a101r00000Atv9YAAR,EUR,FALSE,,FALSE,Flat Fee,0,,0,1,2c92a0ff6435125c01643ca97c974030,FALSE,,EUR,,,Flat Fee,,Updated
a0z1r00000IqkuaAAB,FALSE,1,USD,a101r00000Atv9ZAAR,USD,FALSE,,FALSE,Flat Fee,0,,0,1,2c92a0ff6435125c01643ca97cde4034,FALSE,,USD,,,Flat Fee,,Updated
a0z1r00000IqkubAAB,FALSE,1,USD,a101r00000Atv9ZAAR,EUR,FALSE,,FALSE,Flat Fee,0,,0,1,2c92a0ff6435125c01643ca97cde4035,FALSE,,EUR,,,Flat Fee,,Updated
a0z1r00000IqkucAAB,FALSE,1,USD,a101r00000Atv9sAAB,EUR,FALSE,,FALSE,Flat Fee,24000,,0,1,2c92a0ff6435125c01643ca97d27403a,FALSE,,EUR,,,Flat Fee,,Updated
a0z1r00000IqkxBAAR,FALSE,1,USD,a101r00000Atv9sAAB,USD,FALSE,,FALSE,Flat Fee,24000,,0,1,2c92a0ff6435125c01643ca97d274039,FALSE,,USD,,,Flat Fee,,Updated
a0z1r00000IqkujAAB,FALSE,1,USD,a101r00000Atv9tAAB,EUR,FALSE,,FALSE,Flat Fee,25272,,0,1,2c92a0ff6435125c01643ca97ed0406a,FALSE,,EUR,,,Flat Fee,,Updated
a0z1r00000IqkxCAAR,FALSE,1,USD,a101r00000Atv9tAAB,USD,FALSE,,FALSE,Flat Fee,25272,,0,1,2c92a0ff6435125c01643ca97ed04069,FALSE,,USD,,,Flat Fee,,Updated
a0z1r00000JMKorAAH,FALSE,1,USD,a101r00000BmXzgAAF,USD,FALSE,,FALSE,Flat Fee,0,,0,1,2c92a0fe67a101fc0167a204775612f0,FALSE,,USD,,,Flat Fee,,Updated
a0z1r00000JMKosAAH,FALSE,1,USD,a101r00000BmXzgAAF,EUR,FALSE,,FALSE,Flat Fee,0,,0,1,2c92a0fe67a101fc0167a204775612f1,FALSE,,EUR,,,Flat Fee,,Updated
a0z1r00000JMNk0AAH,FALSE,1,USD,a101r00000BpbRoAAJ,USD,FALSE,,FALSE,Flat Fee,0,,0,1,2c92a0fd68a2d8a30168b8b4139c3f04,FALSE,,USD,,,Flat Fee,,Updated
a0z1r00000JMNk1AAH,FALSE,1,USD,a101r00000BpbRoAAJ,EUR,FALSE,,FALSE,Flat Fee,0,,0,1,2c92a0fd68a2d8a30168b8b4139c3f05,FALSE,,EUR,,,Flat Fee,,Updated
a0z1r00000JMNkIAAX,FALSE,1,USD,a101r00000BpbRxAAJ,USD,FALSE,,FALSE,Flat Fee,0,,0,1,2c92a00868a2d86c0168b8c53dba6bf6,FALSE,,USD,,,Flat Fee,,Updated
a0z1r00000JMNkJAAX,FALSE,1,USD,a101r00000BpbRxAAJ,EUR,FALSE,,FALSE,Flat Fee,0,,0,1,2c92a00868a2d86c0168b8c53dba6bf7,FALSE,,EUR,,,Flat Fee,,Updated
a0z1r00000JMNkaAAH,FALSE,1,USD,a101r00000BpbS6AAJ,USD,FALSE,,FALSE,Flat Fee,0,,0,1,2c92a0fd68a2d8a30168b8e6e5747c74,FALSE,,USD,,,Flat Fee,,Updated
a0z1r00000JMNkbAAH,FALSE,1,USD,a101r00000BpbS6AAJ,EUR,FALSE,,FALSE,Flat Fee,0,,0,1,2c92a0fd68a2d8a30168b8e6e5747c75,FALSE,,EUR,,,Flat Fee,,Updated
a0z1r00000IVQRnAAP,FALSE,1,USD,a101r00000CgDBdAAN,USD,FALSE,,FALSE,Flat Fee,0,,0,1,2c92a0ff696c906c016971eb89d05187,FALSE,,USD,,,Flat Fee,,Updated
a0z1r00000IVQRoAAP,FALSE,1,USD,a101r00000CgDBdAAN,EUR,FALSE,,FALSE,Flat Fee,0,,0,1,2c92a0ff696c906c016971eb89d05188,FALSE,,EUR,,,Flat Fee,,Updated